NomeEstacao,CodEstacao,StatusEstacao,MunicipioUF,Latitude,Longitude,Altitude,Operadora,Responsavel,Origem,Bacia,SubBacia,CodRio
PCH INDAIÁ GRANDE JUSANTE,63001675,Ativo,CASSILÂNDIA-MS,-19.28780,-52.40060,398.00,00570 - INDAIÁ GRANDE - Indaiá Grande Energia S.A,00570 - INDAIÁ GRANDE - Indaiá Grande Energia S.A,Setor Elétrico,6,63,63123000
PCH AREADO MONTANTE,63001680,Ativo,CHAPADÃO DO SUL-MS,-19.43750,-52.46390,384.00,01088 - AREADO - Areado Energia S.A.,01088 - AREADO - Areado Energia S.A.,Setor Elétrico,6,63,63123000
PCH AREADO JUSANTE,63001740,Ativo,INOCÊNCIA-MS,-19.54810,-52.50500,352.00,01088 - AREADO - Areado Energia S.A.,01088 - AREADO - Areado Energia S.A.,Setor Elétrico,6,63,63123000
UHE JUPIÁ FAZENDA SÃO SEBASTIÃO,63003200,Ativo,TRÊS LAGOAS-MS,-20.20500,-52.08780,0.00,01062 - RIO PARANÁ - Rio Paraná Energia S.A.,01062 - RIO PARANÁ - Rio Paraná Energia S.A.,Setor Elétrico,6,63,63100000
UHE JUPIÁ SUCURIÚ,63003300,Ativo,TRÊS LAGOAS-MS,-20.60030,-51.85250,0.00,01062 - RIO PARANÁ - Rio Paraná Energia S.A.,01062 - RIO PARANÁ - Rio Paraná Energia S.A.,Setor Elétrico,6,63,60001000
UHE PORTO PRIMAVERA JUPIÁ,63015000,Ativo,TRÊS LAGOAS-MS,-20.85560,-51.63080,0.00,00006 - CESP - Companhia Energética de São Paulo-CESP,00006 - CESP - Companhia Energética de São Paulo-CESP,Setor Elétrico,6,63,60001000
PCH VERDE 4A MONTANTE 2,63250700,Ativo,CAMAPUÃ-MS,-19.61060,-53.47830,0.00,01015 - PHOENIX - Phoenix Geração de Energia S.A.,01015 - PHOENIX - Phoenix Geração de Energia S.A.,Setor Elétrico,6,63,63300000
PCH VERDE 4A MONTANTE 1,63250800,Ativo,CAMAPUÃ-MS,-19.73940,-53.45190,0.00,01015 - PHOENIX - Phoenix Geração de Energia S.A.,01015 - PHOENIX - Phoenix Geração de Energia S.A.,Setor Elétrico,6,63,63300000
PCH VERDE 4A RIBEIRÃO SALGADO,63250850,Ativo,CAMAPUÃ-MS,-19.79360,-53.48610,0.00,01015 - PHOENIX - Phoenix Geração de Energia S.A.,01015 - PHOENIX - Phoenix Geração de Energia S.A.,Setor Elétrico,6,63,63301300
PCH VERDE 4A BARRAMENTO,63250880,Ativo,ÁGUA CLARA-MS,-19.87580,-53.36750,385.00,01015 - PHOENIX - Phoenix Geração de Energia S.A.,01015 - PHOENIX - Phoenix Geração de Energia S.A.,Setor Elétrico,6,63,63300000
PCH VERDE 4A JUSANTE,63250900,Ativo,ÁGUA CLARA-MS,-19.87890,-53.36360,0.00,01015 - PHOENIX - Phoenix Geração de Energia S.A.,01015 - PHOENIX - Phoenix Geração de Energia S.A.,Setor Elétrico,6,63,63300000
PCH VERDE 4 BARRAMENTO,63250910,Ativo,ÁGUA CLARA-MS,-19.87440,-53.36860,363.45,01014 - SAVANA - Savana Geração de Energia S.A.,01014 - SAVANA - Savana Geração de Energia S.A.,Setor Elétrico,6,63,63300000
PCH VERDE 4 JUSANTE,63250950,Ativo,ÁGUA CLARA-MS,-19.97940,-53.26940,0.00,01014 - SAVANA - Savana Geração de Energia S.A.,01014 - SAVANA - Savana Geração de Energia S.A.,Setor Elétrico,6,63,63300000
UHE SÃO DOMINGOS ARARAS,63257000,Ativo,RIBAS DO RIO PARDO-MS,-20.04860,-53.29720,353.00,00079 - CGT ELETROSUL - Companhia de Geração e Transmissão de Energia...,00079 - CGT ELETROSUL - Companhia de Geração e Transmissão de Energia...,Setor Elétrico,6,63,63302200
UHE SÃO DOMINGOS DO BACURI,63259000,Ativo,ÁGUA CLARA-MS,-19.93530,-53.18250,351.00,00079 - CGT ELETROSUL - Companhia de Geração e Transmissão de Energia...,00079 - CGT ELETROSUL - Companhia de Geração e Transmissão de Energia...,Setor Elétrico,6,63,63302300
UHE SÃO DOMINGOS BARRAMENTO,63260000,Ativo,ÁGUA CLARA-MS,-20.05940,-53.18000,347.00,00079 - CGT ELETROSUL - Companhia de Geração e Transmissão de Energia...,00079 - CGT ELETROSUL - Companhia de Geração e Transmissão de Energia...,Setor Elétrico,6,63,63300000
UHE SÃO DOMINGOS JUSANTE,63270000,Ativo,ÁGUA CLARA-MS,-20.07750,-53.17690,322.00,00079 - CGT ELETROSUL - Companhia de Geração e Transmissão de Energia...,00079 - CGT ELETROSUL - Companhia de Geração e Transmissão de Energia...,Setor Elétrico,6,63,63300000
UHE PORTO PRIMAVERA PORTO VELHO,63400000,Ativo,TRÊS LAGOAS-MS,-21.00330,-52.16780,260.00,00006 - CESP - Companhia Energética de São Paulo-CESP,00006 - CESP - Companhia Energética de São Paulo-CESP,Setor Elétrico,6,63,63300000
UHE ASSIS CHATEAUBRIAND LIMÃO,63850000,Ativo,CAMAPUÃ-MS,-19.88080,-53.94080,463.00,00466 - PANTANAL - Pantanal Energética Ltda.,00466 - PANTANAL - Pantanal Energética Ltda.,Setor Elétrico,6,63,63500000
RIBAS DO RIO PARDO,63900001,Ativo,RIBAS DO RIO PARDO-MS,-20.44140,-53.71810,343.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CotaOnline,6,63,63500000
UHE ASSIS CHATEAUBRIAND BOTAS,63905000,Ativo,RIBAS DO RIO PARDO-MS,-20.43640,-53.75470,357.00,00466 - PANTANAL - Pantanal Energética Ltda.,00466 - PANTANAL - Pantanal Energética Ltda.,Setor Elétrico,6,63,63501600
